Date,HomeTeam,FTHG,AwayTeam,FTAG
11.12.2015,Heerenveen,2,Excelsior,1
12.12.2015,Cambuur,3,Nijmegen,1
12.12.2015,Den Haag,1,Willem II,1
12.12.2015,PSV Eindhoven,1,Roda,1
12.12.2015,Twente,2,Graafschap,1
13.12.2015,Groningen,1,Feyenoord,1
13.12.2015,Heracles,1,Vitesse,1
13.12.2015,Utrecht,1,Ajax,0
13.12.2015,Zwolle,2,AZ Alkmaar,1
18.12.2015,Vitesse,5,Twente,1
19.12.2015,AZ Alkmaar,2,Utrecht,2
19.12.2015,Heracles,2,Groningen,1
19.12.2015,PSV Eindhoven,3,Zwolle,2
20.12.2015,Ajax,2,Graafschap,1
20.12.2015,Excelsior,1,Cambuur,4
20.12.2015,Heerenveen,0,Den Haag,4
20.12.2015,Nijmegen,3,Feyenoord,1
20.12.2015,Willem II,3,Roda,2
15.01.2016,Twente,4,Heracles,0
16.01.2016,Cambuur,0,Vitesse,2
16.01.2016,Graafschap,2,Excelsior,0
16.01.2016,Roda,0,AZ Alkmaar,1
16.01.2016,Zwolle,5,Heerenveen,2
17.01.2016,Den Haag,0,Ajax,1
17.01.2016,Feyenoord,0,PSV Eindhoven,2
17.01.2016,Groningen,1,Utrecht,4
17.01.2016,Nijmegen,1,Willem II,0
22.01.2016,Groningen,0,Nijmegen,0
23.01.2016,Ajax,1,Vitesse,0
23.01.2016,Excelsior,0,Roda,1
23.01.2016,Heerenveen,3,Willem II,1
23.01.2016,Heracles,2,Graafschap,1
24.01.2016,AZ Alkmaar,4,Feyenoord,2
24.01.2016,Den Haag,2,Cambuur,1
24.01.2016,PSV Eindhoven,4,Twente,2
24.01.2016,Utrecht,1,Zwolle,0
26.01.2016,Ajax,0,Heracles,0
26.01.2016,Willem II,1,Groningen,1
27.01.2016,AZ Alkmaar,3,Cambuur,1
27.01.2016,Excelsior,1,PSV Eindhoven,3
27.01.2016,Graafschap,3,Den Haag,1
27.01.2016,Nijmegen,2,Twente,0
27.01.2016,Vitesse,1,Zwolle,1
28.01.2016,Feyenoord,1,Heerenveen,2
28.01.2016,Roda,1,Utrecht,0
29.01.2016,Willem II,0,Heracles,0
30.01.2016,Nijmegen,0,AZ Alkmaar,3
30.01.2016,PSV Eindhoven,4,Graafschap,2
30.01.2016,Vitesse,0,Excelsior,0
30.01.2016,Zwolle,1,Groningen,3
31.01.2016,Cambuur,0,Heerenveen,1
31.01.2016,Feyenoord,0,Den Haag,2
31.01.2016,Roda,2,Ajax,2
31.01.2016,Twente,3,Utrecht,1
05.02.2016,Excelsior,0,Willem II,0
06.02.2016,AZ Alkmaar,1,Vitesse,0
06.02.2016,Den Haag,2,Roda,2
06.02.2016,Heerenveen,1,Twente,3
06.02.2016,Heracles,2,Zwolle,0
07.02.2016,Ajax,2,Feyenoord,1
07.02.2016,Graafschap,1,Nijmegen,1
07.02.2016,Groningen,2,Cambuur,0
07.02.2016,Utrecht,0,PSV Eindhoven,2
12.02.2016,Cambuur,0,Utrecht,2
13.02.2016,Heracles,3,AZ Alkmaar,6
13.02.2016,Roda,0,Twente,1
13.02.2016,Vitesse,3,Heerenveen,0
13.02.2016,Willem II,0,Graafschap,0
14.02.2016,Excelsior,2,Den Haag,4
14.02.2016,Groningen,1,Ajax,2
14.02.2016,Nijmegen,0,PSV Eindhoven,3
14.02.2016,Zwolle,3,Feyenoord,1
19.02.2016,Den Haag,0,Zwolle,2
20.02.2016,AZ Alkmaar,4,Groningen,1
20.02.2016,Heerenveen,1,Nijmegen,1
20.02.2016,PSV Eindhoven,2,Heracles,0
20.02.2016,Twente,3,Cambuur,0
21.02.2016,Ajax,3,Excelsior,0
21.02.2016,Feyenoord,1,Roda,1
21.02.2016,Graafschap,2,Vitesse,2
21.02.2016,Utrecht,2,Willem II,1
26.02.2016,Excelsior,2,Nijmegen,0
27.02.2016,Cambuur,1,Zwolle,0
27.02.2016,PSV Eindhoven,2,Den Haag,0
27.02.2016,Twente,2,Groningen,0
27.02.2016,Vitesse,0,Willem II,1
28.02.2016,Ajax,4,AZ Alkmaar,1
28.02.2016,Graafschap,0,Heerenveen,1
28.02.2016,Heracles,0,Roda,5
28.02.2016,Utrecht,1,Feyenoord,2
