Date,HomeTeam,FTHG,AwayTeam,FTAG
30.01.2016,Kilmarnock,0,Hamilton,1
02.02.2016,Partick,1,Motherwell,0
03.02.2016,Aberdeen,2,Celtic,1
06.02.2016,St Johnstone,3,Aberdeen,4
10.02.2016,Ross County,0,Hearts,3
12.02.2016,Dundee,2,St Johnstone,0
13.02.2016,Celtic,2,Ross County,0
13.02.2016,Hamilton,0,Dundee United,0
13.02.2016,Motherwell,0,Kilmarnock,2
15.02.2016,Inverness C,3,Aberdeen,1
16.02.2016,Dundee United,0,Motherwell,3
20.02.2016,Celtic,3,Inverness C,0
20.02.2016,Dundee United,2,Hearts,1
20.02.2016,Kilmarnock,0,Dundee,0
20.02.2016,Ross County,2,Hamilton,1
20.02.2016,St Johnstone,2,Motherwell,1
23.02.2016,Partick,2,St Johnstone,0
26.02.2016,Hamilton,1,Celtic,1
27.02.2016,Aberdeen,1,St Johnstone,1
27.02.2016,Dundee,1,Inverness C,1
27.02.2016,Hearts,1,Kilmarnock,0
27.02.2016,Motherwell,3,Partick,1
27.02.2016,Ross County,0,Dundee United,3
01.03.2016,Hearts,2,Inverness C,0
01.03.2016,Kilmarnock,0,Ross County,2
02.03.2016,Celtic,0,Dundee,0
02.03.2016,Dundee United,0,Aberdeen,1
02.03.2016,St Johnstone,1,Partick,2
05.03.2016,Hamilton,0,Motherwell,1
05.03.2016,Hearts,1,Partick,0
08.03.2016,Partick,1,Aberdeen,2
09.03.2016,St Johnstone,1,Inverness C,0
11.03.2016,Motherwell,2,Dundee United,1
12.03.2016,Aberdeen,2,Kilmarnock,1
12.03.2016,Dundee,0,Hearts,1
12.03.2016,Inverness C,0,Hamilton,1
12.03.2016,Partick,1,Celtic,2
16.03.2016,St Johnstone,1,Ross County,1
19.03.2016,Hamilton,1,Partick,2
19.03.2016,Hearts,0,St Johnstone,3
19.03.2016,Kilmarnock,0,Celtic,1
19.03.2016,Motherwell,2,Aberdeen,1
19.03.2016,Ross County,0,Inverness C,3
20.03.2016,Dundee United,2,Dundee,2
02.04.2016,Celtic,3,Hearts,1
02.04.2016,Dundee,5,Ross County,2
02.04.2016,Inverness C,1,Motherwell,2
02.04.2016,Partick,0,Kilmarnock,0
02.04.2016,St Johnstone,0,Dundee United,1
03.04.2016,Aberdeen,3,Hamilton,0
05.04.2016,Dundee,0,Celtic,0
05.04.2016,Partick,1,Dundee United,0
08.04.2016,Hearts,2,Aberdeen,1
09.04.2016,Dundee United,0,Inverness C,2
09.04.2016,Hamilton,2,Dundee,1
09.04.2016,Kilmarnock,3,St Johnstone,0
09.04.2016,Motherwell,1,Celtic,2
09.04.2016,Ross County,1,Partick,0
12.04.2016,Inverness C,0,Hearts,0
22.04.2016,St Johnstone,3,Aberdeen,0
23.04.2016,Motherwell,1,Hearts,0
23.04.2016,Partick,1,Dundee,2
24.04.2016,Celtic,1,Ross County,1
24.04.2016,Dundee United,1,Hamilton,3
24.04.2016,Inverness C,3,Kilmarnock,1
30.04.2016,Aberdeen,4,Motherwell,1
30.04.2016,Hamilton,0,Kilmarnock,4
30.04.2016,Hearts,1,Celtic,3
30.04.2016,Partick,1,Inverness C,4
30.04.2016,Ross County,0,St Johnstone,1
02.05.2016,Dundee,2,Dundee United,1
06.05.2016,Inverness C,2,Dundee United,3
07.05.2016,Dundee,0,Hamilton,1
07.05.2016,Hearts,1,Ross County,1
07.05.2016,Kilmarnock,0,Partick,2
07.05.2016,Motherwell,1,St Johnstone,2
08.05.2016,Celtic,3,Aberdeen,2
10.05.2016,Dundee United,3,Partick,3
11.05.2016,Dundee,1,Kilmarnock,1
11.05.2016,Hamilton,0,Inverness C,1
11.05.2016,Ross County,1,Motherwell,3
11.05.2016,St Johnstone,2,Celtic,1
12.05.2016,Aberdeen,0,Hearts,1
14.05.2016,Inverness C,4,Dundee,0
14.05.2016,Kilmarnock,2,Dundee United,4
14.05.2016,Partick,2,Hamilton,2
15.05.2016,Aberdeen,0,Ross County,4
15.05.2016,Celtic,7,Motherwell,0
15.05.2016,Hearts,2,St Johnstone,2
