Date,HomeTeam,FTHG,AwayTeam,FTAG
06.01.2016,Belenenses,2,Nacional,2
06.01.2016,Benfica,6,Maritimo,0
06.01.2016,Moreirense,3,Guimaraes,4
06.01.2016,Porto,1,Rio Ave,1
06.01.2016,Setubal,0,Sp Lisbon,6
06.01.2016,Sp Braga,3,Academica,0
06.01.2016,Tondela,0,Pacos Ferreira,2
06.01.2016,Uniao Madeira,1,Boavista,0
09.01.2016,Guimaraes,2,Arouca,2
10.01.2016,Academica,2,Tondela,1
10.01.2016,Boavista,0,Porto,5
10.01.2016,Estoril,2,Belenenses,0
10.01.2016,Maritimo,5,Moreirense,1
10.01.2016,Rio Ave,1,Uniao Madeira,0
10.01.2016,Sp Lisbon,3,Sp Braga,2
11.01.2016,Nacional,1,Benfica,4
11.01.2016,Pacos Ferreira,2,Setubal,1
15.01.2016,Sp Lisbon,2,Tondela,2
16.01.2016,Academica,1,Pacos Ferreira,1
16.01.2016,Estoril,1,Benfica,2
16.01.2016,Maritimo,0,Uniao Madeira,1
17.01.2016,Arouca,1,Moreirense,2
17.01.2016,Guimaraes,1,Porto,0
17.01.2016,Nacional,2,Sp Braga,3
17.01.2016,Rio Ave,1,Belenenses,2
18.01.2016,Boavista,4,Setubal,0
22.01.2016,Setubal,2,Academica,1
23.01.2016,Benfica,3,Arouca,1
23.01.2016,Moreirense,1,Estoril,3
23.01.2016,Pacos Ferreira,1,Sp Lisbon,3
23.01.2016,Uniao Madeira,3,Nacional,0
24.01.2016,Belenenses,3,Guimaraes,3
24.01.2016,Porto,1,Maritimo,0
24.01.2016,Sp Braga,5,Rio Ave,1
25.01.2016,Tondela,1,Boavista,2
29.01.2016,Guimaraes,3,Uniao Madeira,1
30.01.2016,Estoril,1,Porto,3
30.01.2016,Sp Lisbon,3,Academica,2
31.01.2016,Arouca,2,Pacos Ferreira,2
31.01.2016,Boavista,0,Sp Braga,0
31.01.2016,Moreirense,1,Benfica,4
31.01.2016,Nacional,3,Tondela,1
31.01.2016,Rio Ave,2,Setubal,1
01.02.2016,Maritimo,1,Belenenses,2
05.02.2016,Belenenses,0,Benfica,5
06.02.2016,Setubal,1,Maritimo,1
06.02.2016,Tondela,1,Guimaraes,1
07.02.2016,Academica,2,Nacional,2
07.02.2016,Pacos Ferreira,0,Boavista,1
07.02.2016,Porto,1,Arouca,2
07.02.2016,Uniao Madeira,0,Moreirense,1
08.02.2016,Sp Braga,2,Estoril,0
08.02.2016,Sp Lisbon,0,Rio Ave,0
12.02.2016,Benfica,1,Porto,2
13.02.2016,Guimaraes,2,Setubal,2
13.02.2016,Moreirense,2,Belenenses,3
13.02.2016,Nacional,0,Sp Lisbon,4
14.02.2016,Arouca,3,Uniao Madeira,0
14.02.2016,Boavista,0,Academica,0
14.02.2016,Estoril,2,Tondela,1
14.02.2016,Maritimo,1,Sp Braga,3
15.02.2016,Rio Ave,1,Pacos Ferreira,1
19.02.2016,Uniao Madeira,1,Estoril,1
20.02.2016,Academica,0,Rio Ave,2
20.02.2016,Pacos Ferreira,1,Benfica,3
21.02.2016,Belenenses,0,Arouca,2
21.02.2016,Porto,3,Moreirense,2
21.02.2016,Setubal,1,Nacional,1
21.02.2016,Sp Braga,3,Guimaraes,3
21.02.2016,Tondela,3,Maritimo,4
22.02.2016,Sp Lisbon,2,Boavista,0
26.02.2016,Nacional,3,Pacos Ferreira,0
27.02.2016,Arouca,0,Sp Braga,0
27.02.2016,Boavista,1,Rio Ave,2
27.02.2016,Estoril,3,Setubal,0
28.02.2016,Belenenses,1,Porto,2
28.02.2016,Maritimo,1,Academica,0
28.02.2016,Moreirense,1,Tondela,2
29.02.2016,Benfica,2,Uniao Madeira,0
29.02.2016,Guimaraes,0,Sp Lisbon,0
04.03.2016,Pacos Ferreira,2,Maritimo,2
05.03.2016,Sp Lisbon,0,Benfica,1
06.03.2016,Academica,2,Guimaraes,0
06.03.2016,Boavista,0,Nacional,1
06.03.2016,Setubal,0,Moreirense,1
06.03.2016,Sp Braga,3,Porto,1
06.03.2016,Tondela,0,Arouca,1
06.03.2016,Uniao Madeira,0,Belenenses,0
07.03.2016,Rio Ave,1,Estoril,3
11.03.2016,Maritimo,0,Boavista,3
12.03.2016,Estoril,1,Sp Lisbon,2
12.03.2016,Porto,3,Uniao Madeira,2
13.03.2016,Arouca,1,Setubal,0
13.03.2016,Belenenses,3,Sp Braga,0
13.03.2016,Guimaraes,0,Pacos Ferreira,1
13.03.2016,Moreirense,2,Academica,2
13.03.2016,Nacional,1,Rio Ave,0
14.03.2016,Benfica,4,Tondela,1
18.03.2016,Rio Ave,1,Maritimo,0
19.03.2016,Setubal,0,Porto,1
19.03.2016,Sp Lisbon,5,Arouca,1
20.03.2016,Academica,0,Estoril,3
20.03.2016,Boavista,0,Benfica,1
20.03.2016,Nacional,3,Guimaraes,2
20.03.2016,Pacos Ferreira,0,Moreirense,0
20.03.2016,Sp Braga,2,Uniao Madeira,0
20.03.2016,Tondela,2,Belenenses,2
01.04.2016,Benfica,5,Sp Braga,1
02.04.2016,Arouca,3,Academica,2
02.04.2016,Guimaraes,1,Boavista,1
02.04.2016,Maritimo,2,Nacional,0
03.04.2016,Estoril,1,Pacos Ferreira,0
03.04.2016,Moreirense,0,Rio Ave,1
03.04.2016,Uniao Madeira,2,Setubal,2
04.04.2016,Belenenses,2,Sp Lisbon,5
04.04.2016,Porto,0,Tondela,1
08.04.2016,Boavista,0,Arouca,0
09.04.2016,Academica,1,Benfica,2
09.04.2016,Sp Lisbon,3,Maritimo,1
10.04.2016,Nacional,4,Estoril,1
10.04.2016,Pacos Ferreira,1,Porto,0
10.04.2016,Setubal,0,Belenenses,1
10.04.2016,Sp Braga,1,Moreirense,1
10.04.2016,Tondela,1,Uniao Madeira,0
11.04.2016,Rio Ave,2,Guimaraes,0
16.04.2016,Arouca,0,Rio Ave,0
16.04.2016,Estoril,1,Boavista,0
16.04.2016,Moreirense,0,Sp Lisbon,1
17.04.2016,Belenenses,1,Academica,1
17.04.2016,Maritimo,3,Guimaraes,0
17.04.2016,Porto,4,Nacional,0
17.04.2016,Uniao Madeira,3,Pacos Ferreira,4
18.04.2016,Benfica,2,Setubal,1
18.04.2016,Sp Braga,3,Tondela,0
22.04.2016,Boavista,1,Belenenses,0
23.04.2016,Academica,1,Porto,2
23.04.2016,Pacos Ferreira,1,Sp Braga,0
23.04.2016,Sp Lisbon,2,Uniao Madeira,0
24.04.2016,Guimaraes,1,Estoril,1
24.04.2016,Maritimo,1,Arouca,2
24.04.2016,Nacional,0,Moreirense,1
24.04.2016,Rio Ave,0,Benfica,1
24.04.2016,Setubal,0,Tondela,1
29.04.2016,Benfica,1,Guimaraes,0
29.04.2016,Sp Braga,3,Setubal,2
30.04.2016,Belenenses,0,Pacos Ferreira,2
30.04.2016,Porto,1,Sp Lisbon,3
30.04.2016,Tondela,1,Rio Ave,1
01.05.2016,Arouca,3,Nacional,0
01.05.2016,Estoril,2,Maritimo,1
01.05.2016,Moreirense,1,Boavista,1
01.05.2016,Uniao Madeira,3,Academica,1
06.05.2016,Pacos Ferreira,1,Tondela,4
07.05.2016,Academica,0,Sp Braga,0
07.05.2016,Rio Ave,1,Porto,3
07.05.2016,Sp Lisbon,5,Setubal,0
08.05.2016,Boavista,1,Uniao Madeira,0
08.05.2016,Guimaraes,4,Moreirense,1
08.05.2016,Maritimo,0,Benfica,2
08.05.2016,Nacional,2,Belenenses,2
09.05.2016,Estoril,1,Arouca,1
14.05.2016,Arouca,2,Guimaraes,2
14.05.2016,Belenenses,2,Estoril,1
14.05.2016,Porto,4,Boavista,0
14.05.2016,Setubal,0,Pacos Ferreira,0
14.05.2016,Tondela,2,Academica,0
14.05.2016,Uniao Madeira,1,Rio Ave,2
15.05.2016,Benfica,4,Nacional,1
15.05.2016,Moreirense,2,Maritimo,1
15.05.2016,Sp Braga,0,Sp Lisbon,4
