Date,HomeTeam,FTHG,AwayTeam,FTAG
05.12.2015,Hamburg,1,Mainz,3
05.12.2015,Hertha,2,Leverkusen,1
05.12.2015,Ingolstadt,1,Hoffenheim,1
05.12.2015,M'gladbach,3,Bayern Munich,1
05.12.2015,Wolfsburg,1,Dortmund,2
06.12.2015,Ein Frankfurt,0,Darmstadt,1
06.12.2015,Stuttgart,1,Werder Bremen,1
11.12.2015,Mainz,0,Stuttgart,0
12.12.2015,Bayern Munich,2,Ingolstadt,0
12.12.2015,Darmstadt,0,Hertha,4
12.12.2015,Hoffenheim,1,Hannover,0
12.12.2015,Leverkusen,5,M'gladbach,0
12.12.2015,Werder Bremen,1,FC Koln,1
12.12.2015,Wolfsburg,1,Hamburg,1
13.12.2015,Augsburg,2,Schalke 04,1
13.12.2015,Dortmund,4,Ein Frankfurt,1
18.12.2015,Schalke 04,1,Hoffenheim,0
19.12.2015,Ein Frankfurt,2,Werder Bremen,1
19.12.2015,FC Koln,2,Dortmund,1
19.12.2015,Hamburg,0,Augsburg,1
19.12.2015,Hannover,0,Bayern Munich,1
19.12.2015,Ingolstadt,0,Leverkusen,1
19.12.2015,Stuttgart,3,Wolfsburg,1
20.12.2015,Hertha,2,Mainz,0
20.12.2015,M'gladbach,3,Darmstadt,2
22.01.2016,Hamburg,1,Bayern Munich,2
23.01.2016,FC Koln,1,Stuttgart,3
23.01.2016,Hannover,1,Darmstadt,2
23.01.2016,Hertha,0,Augsburg,0
23.01.2016,Hoffenheim,1,Leverkusen,1
23.01.2016,Ingolstadt,1,Mainz,0
23.01.2016,M'gladbach,1,Dortmund,3
24.01.2016,Ein Frankfurt,3,Wolfsburg,2
24.01.2016,Schalke 04,1,Werder Bremen,3
29.01.2016,Mainz,1,M'gladbach,0
30.01.2016,Augsburg,0,Ein Frankfurt,0
30.01.2016,Darmstadt,0,Schalke 04,2
30.01.2016,Dortmund,2,Ingolstadt,0
30.01.2016,Leverkusen,3,Hannover,0
30.01.2016,Stuttgart,2,Hamburg,1
30.01.2016,Werder Bremen,3,Hertha,3
31.01.2016,Bayern Munich,2,Hoffenheim,0
31.01.2016,Wolfsburg,1,FC Koln,1
05.02.2016,M'gladbach,5,Werder Bremen,1
06.02.2016,Ein Frankfurt,2,Stuttgart,4
06.02.2016,Hannover,0,Mainz,1
06.02.2016,Hertha,0,Dortmund,0
06.02.2016,Ingolstadt,2,Augsburg,1
06.02.2016,Leverkusen,0,Bayern Munich,0
06.02.2016,Schalke 04,3,Wolfsburg,0
07.02.2016,Hamburg,1,FC Koln,1
07.02.2016,Hoffenheim,0,Darmstadt,2
12.02.2016,Mainz,2,Schalke 04,1
13.02.2016,Darmstadt,1,Leverkusen,2
13.02.2016,Dortmund,1,Hannover,0
13.02.2016,FC Koln,3,Ein Frankfurt,1
13.02.2016,Stuttgart,2,Hertha,0
13.02.2016,Werder Bremen,1,Hoffenheim,1
13.02.2016,Wolfsburg,2,Ingolstadt,0
14.02.2016,Augsburg,1,Bayern Munich,3
14.02.2016,Hamburg,3,M'gladbach,2
19.02.2016,Ein Frankfurt,0,Hamburg,0
20.02.2016,Bayern Munich,3,Darmstadt,1
20.02.2016,Hertha,1,Wolfsburg,1
20.02.2016,Hoffenheim,3,Mainz,2
20.02.2016,Ingolstadt,2,Werder Bremen,0
20.02.2016,M'gladbach,1,FC Koln,0
21.02.2016,Hannover,0,Augsburg,1
21.02.2016,Leverkusen,0,Dortmund,1
21.02.2016,Schalke 04,1,Stuttgart,1
26.02.2016,FC Koln,0,Hertha,1
27.02.2016,Hamburg,1,Ingolstadt,1
27.02.2016,Stuttgart,1,Hannover,2
27.02.2016,Werder Bremen,2,Darmstadt,2
27.02.2016,Wolfsburg,0,Bayern Munich,2
28.02.2016,Augsburg,2,M'gladbach,2
28.02.2016,Dortmund,3,Hoffenheim,1
28.02.2016,Ein Frankfurt,0,Schalke 04,0
28.02.2016,Mainz,3,Leverkusen,1
01.03.2016,Hannover,0,Wolfsburg,4
01.03.2016,Ingolstadt,1,FC Koln,1
02.03.2016,Bayern Munich,1,Mainz,2
02.03.2016,Darmstadt,0,Dortmund,2
02.03.2016,Hertha,2,Ein Frankfurt,0
02.03.2016,Hoffenheim,2,Augsburg,1
02.03.2016,Leverkusen,1,Werder Bremen,4
02.03.2016,M'gladbach,4,Stuttgart,0
02.03.2016,Schalke 04,3,Hamburg,2
05.03.2016,Augsburg,3,Leverkusen,3
05.03.2016,Dortmund,0,Bayern Munich,0
05.03.2016,Ein Frankfurt,1,Ingolstadt,1
05.03.2016,FC Koln,1,Schalke 04,3
05.03.2016,Stuttgart,5,Hoffenheim,1
05.03.2016,Werder Bremen,4,Hannover,1
05.03.2016,Wolfsburg,2,M'gladbach,1
06.03.2016,Hamburg,2,Hertha,0
06.03.2016,Mainz,0,Darmstadt,0
11.03.2016,Hertha,2,Schalke 04,0
12.03.2016,Bayern Munich,5,Werder Bremen,0
12.03.2016,Darmstadt,2,Augsburg,2
12.03.2016,Hannover,0,FC Koln,2
12.03.2016,Hoffenheim,1,Wolfsburg,0
12.03.2016,Ingolstadt,3,Stuttgart,3
12.03.2016,M'gladbach,3,Ein Frankfurt,0
13.03.2016,Dortmund,2,Mainz,0
13.03.2016,Leverkusen,1,Hamburg,0
18.03.2016,Schalke 04,2,M'gladbach,1
